Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
241.05;1.2298;1045.7;31.798;99.368;360.11;100.54;398.78
241.26;1.2384;1044.9;32.021;99.761;360.15;100.95;398.83
241.47;1.2471;1044.1;32.244;100.15;360.19;101.35;398.87
241.69;1.2558;1043.3;32.469;100.55;360.24;101.75;398.91
241.90;1.2646;1042.5;32.695;100.94;360.28;102.15;398.96
242.11;1.2734;1041.7;32.922;101.33;360.32;102.55;399.00
242.32;1.2822;1040.9;33.151;101.73;360.36;102.96;399.04
242.53;1.2911;1040.1;33.381;102.12;360.41;103.36;399.08
242.75;1.3001;1039.3;33.612;102.51;360.45;103.76;399.12
242.96;1.3090;1038.5;33.845;102.91;360.49;104.17;399.17
243.17;1.3181;1037.7;34.078;103.30;360.53;104.57;399.21
243.38;1.3271;1036.9;34.314;103.70;360.57;104.98;399.25
243.59;1.3363;1036.1;34.550;104.09;360.61;105.38;399.28
243.81;1.3454;1035.2;34.788;104.49;360.65;105.79;399.32
244.02;1.3546;1034.4;35.027;104.88;360.69;106.19;399.36
244.23;1.3639;1033.6;35.268;105.28;360.73;106.60;399.40
244.44;1.3732;1032.8;35.510;105.67;360.76;107.00;399.44
244.65;1.3825;1032.0;35.753;106.07;360.80;107.41;399.47
244.87;1.3919;1031.2;35.998;106.46;360.84;107.81;399.51
245.08;1.4014;1030.3;36.244;106.86;360.88;108.22;399.54
245.29;1.4109;1029.5;36.491;107.26;360.92;108.63;399.58
245.50;1.4204;1028.7;36.740;107.65;360.95;109.04;399.61
245.71;1.4300;1027.9;36.990;108.05;360.99;109.44;399.65
245.93;1.4396;1027.0;37.242;108.45;361.02;109.85;399.68
246.14;1.4493;1026.2;37.495;108.85;361.06;110.26;399.71
246.35;1.4590;1025.4;37.750;109.24;361.10;110.67;399.74
246.56;1.4688;1024.5;38.006;109.64;361.13;111.08;399.78
246.77;1.4786;1023.7;38.263;110.04;361.16;111.49;399.81
246.98;1.4885;1022.9;38.522;110.44;361.20;111.89;399.84
247.20;1.4984;1022.1;38.783;110.84;361.23;112.30;399.87
247.41;1.5084;1021.2;39.044;111.24;361.27;112.71;399.90
247.62;1.5184;1020.4;39.308;111.64;361.30;113.12;399.93
247.83;1.5284;1019.5;39.572;112.04;361.33;113.54;399.95
248.04;1.5385;1018.7;39.839;112.44;361.36;113.95;399.98
248.26;1.5487;1017.9;40.107;112.84;361.40;114.36;400.01
248.47;1.5589;1017.0;40.376;113.24;361.43;114.77;400.04
248.68;1.5692;1016.2;40.647;113.64;361.46;115.18;400.06
248.89;1.5795;1015.3;40.919;114.04;361.49;115.59;400.09
249.10;1.5898;1014.5;41.193;114.44;361.52;116.01;400.11
249.32;1.6002;1013.6;41.468;114.84;361.55;116.42;400.14
249.53;1.6107;1012.8;41.745;115.24;361.58;116.83;400.16
249.74;1.6212;1011.9;42.024;115.64;361.61;117.25;400.18
249.95;1.6318;1011.1;42.304;116.05;361.63;117.66;400.21
250.16;1.6424;1010.2;42.586;116.45;361.66;118.07;400.23
250.38;1.6530;1009.4;42.869;116.85;361.69;118.49;400.25
250.59;1.6637;1008.5;43.154;117.25;361.72;118.90;400.27
250.80;1.6745;1007.7;43.441;117.66;361.74;119.32;400.29
251.01;1.6853;1006.8;43.729;118.06;361.77;119.73;400.31
251.22;1.6961;1006.0;44.019;118.46;361.80;120.15;400.33
251.44;1.7070;1005.1;44.310;118.87;361.82;120.57;400.35
251.65;1.7180;1004.2;44.603;119.27;361.85;120.98;400.37
251.86;1.7290;1003.4;44.898;119.68;361.87;121.40;400.38
252.07;1.7401;1002.5;45.194;120.08;361.90;121.82;400.40
252.28;1.7512;1001.6;45.493;120.49;361.92;122.24;400.42
252.50;1.7624;1000.8;45.792;120.89;361.94;122.65;400.43
252.71;1.7736;999.89;46.094;121.30;361.97;123.07;400.44
252.92;1.7848;999.02;46.397;121.71;361.99;123.49;400.46
253.13;1.7962;998.15;46.702;122.11;362.01;123.91;400.47
253.34;1.8075;997.27;47.009;122.52;362.03;124.33;400.48
253.56;1.8190;996.39;47.317;122.93;362.05;124.75;400.50
253.77;1.8304;995.52;47.627;123.33;362.08;125.17;400.51
253.98;1.8420;994.64;47.939;123.74;362.10;125.59;400.52
254.19;1.8536;993.75;48.253;124.15;362.12;126.01;400.53
254.40;1.8652;992.87;48.568;124.56;362.14;126.43;400.54
254.62;1.8769;991.99;48.885;124.96;362.15;126.86;400.55
254.83;1.8886;991.10;49.204;125.37;362.17;127.28;400.56
255.04;1.9004;990.21;49.525;125.78;362.19;127.70;400.56
255.25;1.9123;989.32;49.848;126.19;362.21;128.12;400.57
255.46;1.9242;988.43;50.173;126.60;362.22;128.55;400.58
255.68;1.9361;987.54;50.499;127.01;362.24;128.97;400.58
255.89;1.9482;986.65;50.827;127.42;362.26;129.40;400.59
256.10;1.9602;985.75;51.157;127.83;362.27;129.82;400.59
256.31;1.9723;984.85;51.489;128.24;362.29;130.25;400.59
256.52;1.9845;983.95;51.823;128.65;362.30;130.67;400.60
256.74;1.9967;983.05;52.159;129.07;362.32;131.10;400.60
256.95;2.0090;982.15;52.497;129.48;362.33;131.52;400.60
257.16;2.0214;981.25;52.836;129.89;362.34;131.95;400.60
257.37;2.0338;980.34;53.178;130.30;362.36;132.38;400.60
257.58;2.0462;979.43;53.522;130.72;362.37;132.81;400.60
257.80;2.0587;978.52;53.867;131.13;362.38;133.23;400.60
258.01;2.0713;977.61;54.215;131.54;362.39;133.66;400.60
258.22;2.0839;976.70;54.564;131.96;362.40;134.09;400.59
258.43;2.0966;975.78;54.916;132.37;362.41;134.52;400.59
258.64;2.1093;974.87;55.269;132.79;362.42;134.95;400.58
258.86;2.1221;973.95;55.625;133.20;362.43;135.38;400.58
259.07;2.1349;973.03;55.982;133.62;362.44;135.81;400.57
259.28;2.1478;972.11;56.342;134.03;362.45;136.24;400.57
259.49;2.1608;971.18;56.704;134.45;362.45;136.67;400.56
259.70;2.1738;970.26;57.068;134.86;362.46;137.10;400.55
259.92;2.1868;969.33;57.434;135.28;362.47;137.54;400.54
260.13;2.2000;968.40;57.802;135.70;362.47;137.97;400.53
260.34;2.2131;967.47;58.172;136.12;362.48;138.40;400.52
260.55;2.2264;966.53;58.544;136.53;362.48;138.84;400.51
260.76;2.2397;965.60;58.919;136.95;362.49;139.27;400.50
260.98;2.2530;964.66;59.296;137.37;362.49;139.71;400.49
261.19;2.2664;963.72;59.674;137.79;362.49;140.14;400.47
261.40;2.2799;962.78;60.056;138.21;362.49;140.58;400.46
261.61;2.2934;961.84;60.439;138.63;362.50;141.01;400.44
261.82;2.3070;960.89;60.824;139.05;362.50;141.45;400.43
262.04;2.3207;959.95;61.212;139.47;362.50;141.89;400.41
262.25;2.3344;959.00;61.602;139.89;362.50;142.32;400.39
262.46;2.3481;958.05;61.995;140.31;362.50;142.76;400.37
262.67;2.3620;957.09;62.389;140.73;362.50;143.20;400.35
262.88;2.3758;956.14;62.786;141.15;362.49;143.64;400.33
263.10;2.3898;955.18;63.186;141.58;362.49;144.08;400.31
