Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
285.31;4.7480;844.63;145.45;226.11;387.78;231.73;420.43
285.45;4.7650;843.48;146.19;226.50;387.65;232.15;420.25
285.60;4.7820;842.32;146.93;226.88;387.52;232.56;420.07
285.75;4.7991;841.16;147.67;227.27;387.39;232.98;419.89
285.89;4.8162;839.99;148.42;227.66;387.25;233.39;419.70
286.04;4.8333;838.82;149.17;228.05;387.12;233.81;419.52
286.18;4.8505;837.64;149.93;228.44;386.98;234.23;419.33
286.33;4.8678;836.46;150.70;228.83;386.84;234.65;419.14
286.48;4.8851;835.27;151.47;229.22;386.70;235.07;418.95
286.62;4.9025;834.08;152.24;229.61;386.56;235.49;418.76
286.77;4.9199;832.88;153.03;230.01;386.42;235.92;418.57
286.91;4.9373;831.67;153.81;230.40;386.27;236.34;418.37
287.06;4.9548;830.46;154.61;230.80;386.13;236.77;418.17
287.20;4.9723;829.24;155.41;231.20;385.98;237.19;417.97
287.35;4.9899;828.02;156.21;231.59;385.83;237.62;417.77
287.50;5.0075;826.79;157.02;231.99;385.68;238.05;417.57
287.64;5.0252;825.55;157.84;232.39;385.53;238.48;417.37
287.79;5.0430;824.31;158.66;232.79;385.37;238.91;417.16
287.93;5.0607;823.07;159.49;233.20;385.22;239.35;416.95
288.08;5.0786;821.81;160.33;233.60;385.06;239.78;416.74
288.23;5.0964;820.55;161.17;234.00;384.90;240.22;416.52
288.37;5.1144;819.28;162.02;234.41;384.74;240.65;416.31
288.52;5.1323;818.01;162.87;234.82;384.58;241.09;416.09
288.66;5.1504;816.73;163.73;235.23;384.42;241.53;415.87
288.81;5.1684;815.44;164.60;235.63;384.25;241.97;415.65
288.96;5.1865;814.15;165.48;236.04;384.08;242.42;415.43
289.10;5.2047;812.85;166.36;236.46;383.91;242.86;415.20
289.25;5.2229;811.54;167.25;236.87;383.74;243.31;414.97
289.39;5.2412;810.22;168.15;237.28;383.57;243.75;414.74
289.54;5.2595;808.90;169.05;237.70;383.40;244.20;414.51
289.68;5.2779;807.57;169.97;238.12;383.22;244.65;414.27
289.83;5.2963;806.23;170.89;238.53;383.04;245.10;414.03
289.98;5.3148;804.88;171.81;238.95;382.86;245.56;413.79
290.12;5.3333;803.53;172.75;239.37;382.68;246.01;413.55
290.27;5.3518;802.17;173.69;239.80;382.49;246.47;413.31
290.41;5.3704;800.80;174.64;240.22;382.31;246.93;413.06
290.56;5.3891;799.42;175.60;240.64;382.12;247.39;412.81
290.71;5.4078;798.03;176.57;241.07;381.93;247.85;412.55
290.85;5.4266;796.64;177.55;241.50;381.73;248.31;412.30
291.00;5.4454;795.23;178.53;241.93;381.54;248.78;412.04
291.14;5.4643;793.82;179.53;242.36;381.34;249.24;411.78
291.29;5.4832;792.40;180.53;242.79;381.14;249.71;411.51
291.44;5.5022;790.96;181.54;243.23;380.94;250.18;411.24
291.58;5.5212;789.52;182.57;243.66;380.73;250.66;410.97
291.73;5.5403;788.07;183.60;244.10;380.52;251.13;410.70
291.87;5.5594;786.61;184.64;244.54;380.31;251.61;410.42
292.02;5.5786;785.14;185.69;244.98;380.10;252.09;410.14
292.16;5.5978;783.66;186.75;245.42;379.89;252.57;409.86
292.31;5.6171;782.17;187.83;245.87;379.67;253.05;409.58
292.46;5.6364;780.67;188.91;246.31;379.45;253.53;409.29
292.60;5.6558;779.16;190.00;246.76;379.23;254.02;408.99
292.75;5.6753;777.64;191.10;247.21;379.00;254.51;408.70
292.89;5.6948;776.10;192.22;247.66;378.77;255.00;408.40
293.04;5.7143;774.56;193.35;248.12;378.54;255.50;408.10
293.19;5.7339;773.00;194.48;248.57;378.31;255.99;407.79
293.33;5.7536;771.43;195.64;249.03;378.07;256.49;407.48
293.48;5.7733;769.85;196.80;249.49;377.83;256.99;407.16
293.62;5.7930;768.26;197.97;249.95;377.58;257.50;406.85
293.77;5.8129;766.65;199.16;250.42;377.34;258.00;406.52
293.92;5.8327;765.03;200.36;250.89;377.09;258.51;406.20
294.06;5.8527;763.40;201.57;251.35;376.83;259.02;405.87
294.21;5.8726;761.75;202.80;251.83;376.58;259.54;405.53
